German,English
ich ,I
sie ,they
das ,the
ist ,is
du ,you
nicht ,not
die ,the
es ,it
und ,and
der ,the
wir ,We
was ,What
zu ,to
er ,he
ein ,a
in ,in
ja ,Yes
mir ,me
mit ,with
wie ,how
den ,the
mich ,me
auf ,on
dass ,that
aber ,but
eine ,a
so ,so
hat ,has
hier ,here
haben ,have
für ,for
sind ,are
war ,was
von ,by
wenn ,if
dich ,you
ihr ,Yours
nein ,no
habe ,have
an ,on
bin ,am
noch ,Yet
nur ,only
da ,Since
dir ,dir
sich ,itself
einen ,a
uns ,Us
hast ,have
dem ,the
kann ,can
gut ,Good
auch ,also
schon ,already
als ,as
sein ,be
mal ,times
jetzt ,Now
ihn ,him
dann ,then
aus ,Off
meine ,My
um ,to
im ,in the
wird ,will be
mein ,My
bist ,You are
doch ,but
alles ,everything
weiß ,white
keine ,none
oder ,or
nach ,to
nichts ,nothing
man ,one
muss ,must be
werden ,will be
will ,will
ihnen ,to them
geht ,goes
wo ,where
etwas ,something
oh ,oh
mehr ,more
bei ,at
also ,so
bitte ,please
immer ,always
hab ,hab
warum ,Why
vor ,before
los ,Go
können ,can
wieder ,again
sagen ,say
machen ,make
danke ,Thank you
sehr ,very
alle ,all
denn ,because
mann ,Man
tun ,do
ihm ,to him
zum ,to the
gehen ,Go
sehen ,see
vielleicht ,maybe
einem ,a
wer ,who
ihre ,Your
diese ,these
euch ,you
einer ,a
komm ,Come on
über ,About
gibt ,gives
okay ,okay
wissen ,Knowledge
deine ,Your
müssen ,must be
soll ,should
werde ,will be
nie ,never
wirklich ,really
hey ,hey
kein ,none
viel ,a lot
weg ,Gone
würde ,would
tut ,does
am ,on
des ,of the
einfach ,Simple
leben ,Life
hatte ,had
zeit ,Time
weil ,because
willst ,want to
kommen ,come
dein ,Your
heute ,Today
kommt ,comes
wollen ,want to
damit ,so that
ganz ,all
wäre ,would be
wollte ,wanted to
weißt ,white
ok ,ok
sicher ,Safe
gesagt ,said
frau ,Ms.
nun ,Well
bis ,to
wurde ,was
leid ,Suffering
na ,well
kannst ,You can
macht ,Power
dieser ,This
zurück ,back
lassen ,let
hallo ,Hello
meinen ,My
gott ,God
seine ,its
hätte ,would have
zwei ,two
könnte ,could
genau ,accurate
waren ,Goods
zur ,to the
lass ,let
klar ,clear
morgen ,tomorrow
leute ,People
vater ,Father
schön ,Beautiful
glaube ,Faith
Herr,Mr.
ab ,from
gerade ,straight
tag ,Day
gesehen ,seen
reden ,Speeches
wohl ,Well
liebe ,Love
sollte ,should
sagte ,said
unsere ,Our
jemand ,someone
geld ,Money
durch ,by
ob ,whether
keinen ,none
mutter ,Mother
raus ,out
gemacht ,made
paar ,Couple
